propertyCode;thumbnail;externalReference;numPhotos;floor;price;propertyType;operation;size;exterior;rooms;bathrooms;address;province;municipality;district;country;latitude;longitude;showAddress;url;hasVideo;status;newDevelopment;hasLift
87387411;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e7/e2/39/717813439.jpg;31062;9;1;2000.0;flat;rent;190.0;True;4;3;Maioris-Puig de Ros;Balears (Illes);Llucmajor;Maioris-Puig de Ros;es;39.4467461;2.7520292;False;https://www.idealista.com/inmueble/87387411/;False;good;False;True
30907519;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4f/5b/12/107983612.jpg;CN1073;32;NA;4900.0;countryHouse;rent;235.0;False;5;6;ma-19a s/n;Balears (Illes);Palma de Mallorca;Son Ferriol - Sant Jordi;es;39.5393576;2.7789063;True;https://www.idealista.com/inmueble/30907519/;False;good;False;NA
87515100;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/61/66/113966630.jpg;042.02116;24;NA;12000.0;chalet;rent;500.0;False;4;3;El Toro;Balears (Illes);Calvià;El Toro;es;39.4815366;2.4764732;False;https://www.idealista.com/inmueble/87515100/;False;good;False;NA
31839228;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fc/99/fd/122651876.jpg;Villa Sunset Rojo;26;NA;7500.0;chalet;rent;400.0;False;5;5;Sant Joan de Labritja;Balears (Illes);Sant Joan de Labritja;NA;es;39.052533;1.437725;False;https://www.idealista.com/inmueble/31839228/;False;good;False;NA
33008243;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9e/e7/a3/652039257.jpg;SON002;8;NA;1900.0;flat;rent;115.0;False;3;2;barrio Son Dureta;Balears (Illes);Palma de Mallorca;Sta Catalina - Son Armadans - Maritim;es;39.5703977;2.6247568;False;https://www.idealista.com/inmueble/33008243/;False;NA;False;True
33075269;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9b/8f/b3/151562816.jpg;VILLA 6  HABITACIONES;36;NA;15000.0;chalet;rent;750.0;False;6;6;es colom;Balears (Illes);Santa Eulalia del Río;Santa Eulalia del Río;es;38.982063;1.5318928;False;https://www.idealista.com/inmueble/33075269/;True;good;False;NA
32872221;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/73/e9/724546312.jpg;Paseo marítimo 1103A- 1119;36;3;1050.0;flat;rent;105.0;True;2;2;barrio Paseo Marítimo;Balears (Illes);Palma de Mallorca;Sta Catalina - Son Armadans - Maritim;es;39.5643206;2.6256265;False;https://www.idealista.com/inmueble/32872221/;True;good;False;True
33472339;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/13/57/e9/271746775.jpg;ACH-1207;15;NA;6500.0;chalet;rent;245.0;False;5;5;Sant Josep;Balears (Illes);Sant Josep de Sa Talaia;Sant Josep;es;38.9224535;1.2914954;False;https://www.idealista.com/inmueble/33472339/;False;good;False;NA
33711938;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/4f/65/579758676.jpg;ALQ71404k;12;NA;1400.0;chalet;rent;219.0;False;3;1;Capdepera;Balears (Illes);Capdepera;NA;es;39.6474624;3.4354405;False;https://www.idealista.com/inmueble/33711938/;False;NA;False;NA
86226472;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1d/fc/03/159765667.jpg;NA;10;2;1100.0;flat;rent;80.0;True;2;1;barrio La Llotja;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.566984;2.6467032;False;https://www.idealista.com/inmueble/86226472/;False;good;False;False
34145325;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/7c/b2/159856522.jpg;M-2126;11;NA;9500.0;chalet;rent;420.0;False;5;4;Santa Ponça;Balears (Illes);Calvià;Santa Ponça;es;39.5100471;2.4591772;False;https://www.idealista.com/inmueble/34145325/;False;good;False;NA
83486280;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ee/91/13/168662043.jpg;LH 0405;41;NA;4500.0;chalet;rent;400.0;False;4;4;Carretera SANT ANTONI DE PORTMANY s/n;Balears (Illes);Sant Antoni de Portmany;NA;es;38.9641285;1.3875372;True;https://www.idealista.com/inmueble/83486280/;False;good;False;NA
35065057;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/67/cd/c5/174339480.jpg;GPGO1021;25;NA;4800.0;chalet;rent;450.0;False;5;6;Gran Via Port;Balears (Illes);Calvià;Santa Ponça;es;39.5063109;2.478767;False;https://www.idealista.com/inmueble/35065057/;False;good;False;NA
36429975;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/6c/d2/652219650.jpg;3490;52;NA;6500.0;chalet;rent;1333.0;False;8;6;Sa Cabaneta;Balears (Illes);Marratxi;Sa Cabaneta;es;39.6201224;2.7446455;False;https://www.idealista.com/inmueble/36429975/;False;good;False;NA
36709981;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f3/1e/37/202614972.jpg;Villa Queen;27;NA;8000.0;chalet;rent;320.0;False;4;4;Jesús/Nuestra Señora de Jesús;Balears (Illes);Santa Eulalia del Río;Jesús/Nuestra Señora de Jesús;es;38.9315707;1.4952303;False;https://www.idealista.com/inmueble/36709981/;False;good;False;NA
36766388;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d3/20/15/203574203.jpg;A0733;16;NA;7000.0;chalet;rent;250.0;False;4;4;Camino Cala Salada s/n;Balears (Illes);Sant Antoni de Portmany;NA;es;39.0134003;1.2952646;True;https://www.idealista.com/inmueble/36766388/;False;good;False;NA
87556665;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e3/5a/d3/203958092.jpg;Alaro 850;39;NA;2500.0;chalet;rent;371.0;False;3;3;Alaró;Balears (Illes);Alaró;NA;es;39.71384;2.79659;False;https://www.idealista.com/inmueble/87556665/;False;good;False;NA
36270610;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b9/a3/06/652039713.jpg;PM1298;10;NA;1800.0;flat;rent;144.0;False;2;2;barrio La Seu - Cort - Monti-Sion;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5690207;2.6480023;False;https://www.idealista.com/inmueble/36270610/;False;NA;False;NA
36924728;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/c0/97/272681796.jpg;4577-592A;15;NA;1500.0;chalet;rent;190.0;False;2;1;Mancor de la Vall;Balears (Illes);Mancor de la Vall;NA;es;39.7500436;2.8716381;False;https://www.idealista.com/inmueble/36924728/;False;NA;False;NA
37268191;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/b5/fd/601878557.jpg;A16-;26;5;1900.0;flat;rent;95.0;True;2;2;barrio Les Maravelles;Balears (Illes);Palma de Mallorca;Playa de Palma;es;39.5216533;2.7413336;False;https://www.idealista.com/inmueble/37268191/;False;good;False;True
87176225;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fd/92/67/230130868.jpg;43159;17;NA;2350.0;chalet;rent;150.0;False;3;2;Badia Blava-Badia Gran-Tolleric;Balears (Illes);Llucmajor;Badia Blava-Badia Gran-Tolleric;es;39.425928;2.744472;False;https://www.idealista.com/inmueble/87176225/;False;good;False;NA
37736500;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9c/42/6c/223469778.jpg;CM17088;11;3;850.0;flat;rent;60.0;True;2;1;barrio Sta Catalina - El Jonquet;Balears (Illes);Palma de Mallorca;Sta Catalina - Son Armadans - Maritim;es;39.57505;2.639007;False;https://www.idealista.com/inmueble/37736500/;False;good;False;False
37743708;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1c/8b/fa/223613875.jpg;Bordils;14;3;1200.0;flat;rent;154.0;True;4;2;Calle d'En Bordils;Balears (Illes);Manacor;Porto Cristo;es;39.5423455;3.3347915;False;https://www.idealista.com/inmueble/37743708/;False;good;False;True
37947765;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/09/83/2e/227715785.jpg;ma-1865a;19;1;2500.0;flat;rent;110.0;True;2;2;Cas Catala;Balears (Illes);Calvià;Cas Catala;es;39.5434283;2.594387;False;https://www.idealista.com/inmueble/37947765/;False;good;False;True
37962618;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c0/45/fd/228265642.jpg;NA;29;NA;2000.0;chalet;rent;160.0;False;2;2;Lugar Net;Balears (Illes);Puigpunyent;NA;es;39.62807;2.48847;False;https://www.idealista.com/inmueble/37962618/;False;good;False;NA
